user_id,signup_date,country,device_type,acq_channel,age,member_level,kyc_passed,device_risk_score,ip_risk_score,num_cards_linked,chargeback_history,failed_login_7d,tx_count_7d,tx_amount_7d,burstiness,hours_to_first_tx,activated,days_to_activation,is_fraud,risk_bucket
1,2025-02-02,HK,iOS,Organic,27,0,1,26.7,43.6,1,1,0,3,95.12,63.5,3.09,1,8.19,0,Low
2,2025-10-10,US,Android,Organic,23,0,0,36.7,67.2,1,0,1,6,141.61,46.6,12.13,1,4.63,0,Low
3,2025-08-27,GB,Web,Referral,21,1,1,56.0,80.9,1,0,3,3,35.63,32.3,12.7,1,11.22,0,Medium
4,2025-06-10,US,Android,Organic,21,0,1,54.6,31.3,1,0,1,2,78.52,49.4,12.47,1,1.32,0,Low
5,2025-06-08,US,Web,Organic,51,0,1,32.6,33.8,0,0,1,4,132.34,40.3,11.57,1,4.02,0,Low
6,2025-11-10,SG,Android,Organic,30,0,0,69.8,29.6,3,0,2,3,170.07,70.0,4.01,1,2.3,0,Medium
7,2025-02-01,CA,Web,Organic,39,0,1,27.1,71.0,4,0,0,1,150.3,27.0,13.4,1,3.95,0,Low
8,2025-09-12,BR,Android,Ads,39,0,1,48.0,14.5,1,0,1,4,64.08,91.0,5.63,1,4.03,0,Low
9,2025-03-15,FR,iOS,Organic,32,0,0,37.6,48.9,3,0,1,3,340.16,35.0,10.21,1,9.24,0,Low
10,2025-02-04,BR,iOS,Affiliate,23,0,0,48.5,12.3,0,1,1,6,267.63,60.8,6.18,1,13.35,0,Low
11,2025-07-12,DE,Android,Ads,36,1,0,22.5,71.5,0,0,2,7,55.5,16.8,11.3,1,2.24,0,Low
12,2025-12-23,AU,Web,Organic,21,2,0,15.0,56.6,1,0,1,1,125.42,48.3,8.84,1,3.07,0,Low
13,2025-09-26,US,Android,Affiliate,36,1,1,34.0,29.4,1,0,0,2,76.69,14.7,53.27,0,5.56,0,Low
14,2025-10-05,CA,iOS,Organic,22,0,1,57.2,78.0,2,0,2,2,68.99,32.1,5.55,1,4.91,0,Medium
15,2025-09-19,US,iOS,Ads,27,1,1,48.4,26.0,0,1,0,3,21.45,73.0,8.28,1,5.1,0,Low
16,2025-10-14,US,Android,Ads,27,1,1,20.6,44.4,1,0,1,4,527.19,49.0,11.84,0,5.74,0,Low
17,2025-07-07,US,Web,Organic,44,0,1,62.4,0.0,1,0,0,6,39.35,87.5,6.34,1,5.75,0,Low
18,2025-02-16,FR,Android,Organic,18,0,0,49.0,54.5,2,0,1,5,42.89,33.2,24.33,1,8.87,0,Low
19,2025-11-03,DE,Android,Ads,52,0,1,58.6,34.9,2,0,0,5,55.8,69.9,6.19,0,7.51,0,Low
20,2025-06-14,IN,Android,Organic,24,0,0,38.9,37.5,1,0,2,5,177.14,49.9,9.26,0,16.31,0,Low
21,2025-07-02,MX,Web,Ads,30,1,1,12.7,22.7,1,0,1,5,63.32,46.3,11.09,1,7.68,0,Low
22,2025-05-16,IN,Android,Organic,35,0,0,71.8,20.0,0,0,0,6,17.14,44.2,12.05,1,2.29,0,Low
23,2025-03-08,US,iOS,Organic,34,0,1,41.9,31.1,1,0,3,3,38.57,35.0,5.36,1,16.22,0,Low
24,2025-12-05,BR,Android,Referral,39,1,1,62.8,67.8,2,0,3,4,189.46,52.5,8.33,0,6.3,0,Medium
25,2025-10-13,BR,Android,Organic,36,1,1,38.1,50.2,0,0,0,2,66.8,60.0,3.97,1,11.79,0,Low
26,2025-08-24,BR,Web,Referral,49,0,1,46.7,24.6,0,0,0,5,49.28,24.8,16.68,1,8.18,0,Low
27,2025-05-27,US,Android,Ads,38,0,1,15.7,0.0,0,0,2,6,136.58,12.0,13.08,1,4.73,0,Low
28,2025-10-28,US,iOS,Ads,30,1,1,30.1,81.2,0,0,0,4,147.78,45.8,5.45,0,3.29,0,Low
29,2025-07-19,IN,Android,Organic,26,0,0,71.7,0.0,0,0,2,5,89.41,22.3,18.22,1,1.47,0,Low
30,2025-06-11,US,Android,Affiliate,26,0,0,60.7,64.6,0,0,0,4,94.27,55.7,4.25,1,3.06,0,High
31,2025-06-14,CN,iOS,Referral,43,2,1,66.3,51.9,0,0,0,2,319.99,14.6,12.41,1,3.7,0,Low
32,2025-03-24,HK,Web,Ads,47,1,1,53.8,38.0,1,0,2,6,47.98,31.0,4.58,1,8.91,0,Low
33,2025-02-03,US,iOS,Ads,40,0,1,49.5,30.5,1,0,0,3,22.89,30.8,23.99,1,21.95,0,Low
34,2025-07-22,US,Web,Organic,18,2,1,62.2,57.3,3,0,0,3,46.87,25.3,10.37,1,19.65,0,Low
35,2025-11-21,MX,Android,Organic,18,0,1,61.5,63.9,1,0,1,2,56.24,43.9,13.79,0,3.34,0,Medium
36,2025-01-24,BR,iOS,Referral,31,0,1,50.4,64.1,2,0,0,2,117.57,15.8,23.24,1,7.35,0,Low
37,2025-11-10,IN,Android,Organic,29,1,1,46.7,64.3,2,0,1,4,50.8,1.0,12.85,1,2.53,0,Low
38,2025-10-30,CN,Android,Organic,31,0,0,62.2,11.8,1,0,2,1,20.71,65.0,15.74,1,8.45,0,Low
39,2025-04-12,US,Web,Organic,42,0,0,26.3,28.4,4,0,1,1,83.9,82.8,8.71,0,2.42,0,Low
40,2025-08-19,HK,Android,Ads,42,0,1,39.6,29.3,1,1,1,1,47.92,28.4,6.68,1,8.62,0,Low
